pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
11,234,30,30012,144160,67470,GD,W,9997,46,NA,3,1,6,3,3,1,1,5,1,0,3,1,1,2,2,2,2,3,2,2,2,0,1375,2,1,4,NA,NA,NA,PALOS HILLS,60465,6149,0.7246706781590503,0.1133517645145552,0.02049113677020653,0.11270125223613596,0.05578142787445113,57394,Palos Hills,0,0,1,0,0,0,SCHOOL DISTRICT  117,CONSOLIDATED HIGH SCHOOL  230,11.823,56938,FALSE,TRUE,TRUE
12,205,21,21012,404840,57310,NA,W,6550,82,NA,3,1,7,3,3,3,1,5,1,2,2,2,0,2,2,2,2,3,1,2,2,0,1798,2,1,2,3,NA,NA,WESTERN SPRINGS,60558,5576,0.9036944045911048,0.01398852223816355,0.00914634146341463,0.05523672883787661,0.03586800573888091,80242,Western Springs,0,0,1,0,0,0,SCHOOL DISTRICT  101,LYONS TOWNSHIP HIGH SCHOOL  204,7.9,162765,FALSE,TRUE,TRUE
13,203,22,22141,201340,70000,NA,W,7000,66,NA,3,1,6,3,1,3,1,5,1,1,3,1,1,2,NA,2,2,1,2,1,2,0,1380,2,1,1,NA,NA,NA,PARK RIDGE,60068,5094,0.8804475853945819,0,0.02120141342756184,0.08814291323125245,0.02041617589320769,57875,Park Ridge,1,0,1,0,0,0,SCHOOL DISTRICT C C  64,MAINE TOWNSHIP HIGH SCHOOL  207,8.938,113576,FALSE,TRUE,TRUE
14,203,77,77060,429440,142180,NA,W,3125,132,NA,2,1,7,4,1,3,1,5,2,0,1,2,0,2,NA,2,2,3,1,2,2,0,1449,2,1,5,1,NA,NA,CHICAGO,60622,1797,0.6132442960489705,0.02559821925431274,0.10072342793544796,0.21981079577072896,0.08124652198107958,14000,Chicago,0,0,7,0,0,0,DIEGO,CLEMENTE HS,6.89,106339,FALSE,TRUE,TRUE
15,203,72,72282,128670,28120,NA,O,3750,94,NA,2,1,9,6,1,3,2,2,2,0,1,1,0,NA,NA,2,2,3,2,2,2,0,1294,2,1,1,1,NA,NA,CHICAGO,60620,5708,0.01103714085494043,0.9800280308339172,0.00420462508759635,0.0047302032235459,0,14000,Chicago,0,0,1,0,0,1,GREEN,CORLISS HS,6.908,27500,FALSE,TRUE,TRUE
16,205,72,72380,152240,50000,NA,W,5000,79,NA,3,1,7,4,3,1,1,5,1,0,3,3,1,2,2,2,2,4,1,2,2,0,1958,2,1,2,NA,NA,NA,CHICAGO,60638,5341,0.5856581164575922,0.00355738625725519,0.00861261935967047,0.38944017974162143,0.0254633963677214,14000,Chicago,0,0,1,0,0,1,BYRNE,KENNEDY HS,6.934,96326,FALSE,TRUE,TRUE
17,203,37,37021,64580,14040,NA,O,3745,115,NA,1,1,7,3,1,3,1,5,1,0,1,1,1,NA,NA,2,2,1,1,2,2,0,1008,2,1,1,3,NA,NA,DOLTON,60419,6330,0.0693522906793049,0.8759873617693523,0.00505529225908372,0.0372827804107425,0.02464454976303317,20292,Dolton,0,0,1,0,0,0,SCHOOL DISTRICT  148,THORNTON TOWNSHIP HIGH SCHOOL  205,30.059,41653,FALSE,TRUE,TRUE
18,205,20,20081,143410,32810,NA,W,4375,70,NA,3,1,6,4,1,1,1,5,1,0,3,2,1,NA,NA,2,2,3,1,2,2,0,1336,2,1,2,NA,NA,NA,FRANKLIN PARK,60131,4995,0.6126126126126126,0.02482482482482482,0.02102102102102102,0.3207207207207207,0.03963963963963964,27702,Franklin Park,0,0,1,0,0,0,SCHOOL DISTRICT  84,COMMUNITY HIGH SCHOOL  212,11.763,63495,FALSE,TRUE,TRUE
19,211,77,77091,82120,36710,NA,W,3125,122,2,2,1,6,4,1,3,1,5,2,0,3,2,0,2,2,2,2,7,NA,NA,NA,0,2362,2,2,2,NA,NA,1,CHICAGO,60623,655,0.00610687022900763,0.8610687022900764,0,0.13282442748091602,0,14000,Chicago,0,0,1,0,0,0,CROWN,FARRAGUT HS,6.913,21974,FALSE,FALSE,TRUE
20,202,21,21101,29320,80000,NA,W,16000,60,NA,1,1,6,3,2,3,1,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,960,2,1,1,NA,NA,NA,JUSTICE,60458,6004,0.5654563624250499,0.08810792804796802,0.03264490339773484,0.30063291139240506,0.02631578947368421,38830,Justice,0,0,6,1,0,0,SCHOOL DISTRICT  109,COMMUNITY HIGH SCHOOL  217,12.42,57557,FALSE,TRUE,TRUE
21,203,28,28050,156530,31870,NA,T,7500,50,NA,1,1,6,3,1,3,1,5,1,0,3,1,0,NA,NA,2,2,1,1,1,2,0,1120,2,1,1,NA,NA,NA,TINLEY PARK,60477,7741,0.817336261464927,0.02092752874305645,0.01278904534297894,0.13783748869655085,0.02221935150497351,75484,Tinley Park,0,0,6,1,0,0,SCHOOL DISTRICT C C  146,CONSOLIDATED HIGH SCHOOL  230,12.138,66981,FALSE,TRUE,TRUE
22,203,72,72282,85750,23430,NA,W,3125,61,NA,1,1,4,2,2,3,1,5,2,0,3,1,0,NA,NA,2,2,7,NA,NA,NA,0,1035,2,1,1,NA,NA,NA,CHICAGO,60628,4359,0.00229410415232851,0.9740766230786878,0,2.2941041523285156e-4,0.04679972470750172,14000,Chicago,0,0,1,0,0,0,EVERS,HARLAN HS,6.908,60755,FALSE,FALSE,TRUE
23,234,70,70111,77890,32200,NA,W,4025,60,NA,2,1,5,3,3,1,1,5,2,0,3,1,1,NA,NA,2,2,3,1,2,2,0,1000,2,1,4,NA,NA,1,CHICAGO,60619,2707,0.00738825267824159,0.907277428888068,0,0.07092722571111933,0.02881418544514222,14000,Chicago,0,0,2,1,0,0,RUGGLES,BOWEN HS,6.88386464826358,39853,FALSE,TRUE,TRUE
24,203,72,72121,40970,20470,NA,W,3150,92,NA,2,1,4,2,1,3,1,5,2,0,1,1,0,2,2,2,2,7,NA,NA,NA,0,1010,2,1,1,3,NA,NA,CHICAGO,60636,5157,0.00523560209424083,0.8576691875121194,0.00174520069808027,0.12371533837502424,0.02326934264107039,14000,Chicago,0,0,6,1,0,0,MCKAY,GAGE PARK HS,6.934,31310,FALSE,FALSE,TRUE
25,202,70,70120,52320,62280,NA,W,6920,97,NA,2,1,5,2,1,3,2,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,936,2,1,1,NA,NA,1,CHICAGO,60619,3213,0.00435729847494553,0.9607843137254902,0.01089324618736383,0.02396514161220043,0,14000,Chicago,0,0,1,0,0,0,PIRIE,HARLAN HS,6.88386464826358,30100,FALSE,TRUE,TRUE
26,205,27,27030,334170,49240,NA,W,4377,107,NA,4,1,7,4,1,1,2,5,2,0,2,1,1,2,2,2,2,7,NA,NA,NA,0,2133,2,1,2,3,NA,NA,OAK PARK,60302,3200,0.585625,0.27375,0.0425,0.0584375,0.079375,54885,Oak Park,0,0,1,0,0,0,SCHOOL DISTRICT  97,CONSOLIDATED HIGH SCHOOL  200,13.157,62500,FALSE,FALSE,TRUE
27,203,72,72223,85830,31080,NA,W,4145,98,NA,3,1,5,3,1,3,2,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1056,2,1,1,NA,NA,NA,CHICAGO,60620,3012,0.02158034528552457,0.9548472775564408,0.00863213811420982,0,0.02755644090305445,14000,Chicago,0,0,1,0,0,0,GRESHAM,HIRSCH HS,6.873317191283292,37628,FALSE,TRUE,TRUE
28,212,73,73011,275750,94680,NA,W,2367,101,2,2,2,7,4,3,3,2,5,2,0,1,2,1,2,2,2,2,7,NA,NA,NA,0,3670,2,2,2,3,NA,NA,CHICAGO,60660,3464,0.3510392609699769,0.13221709006928406,0.12297921478060046,0.34786374133949194,0.08775981524249422,14000,Chicago,0,0,1,0,1,0,HAYT,SENN HS,6.89,38427,FALSE,FALSE,TRUE
29,204,22,22080,208830,61170,NA,W,7893,57,NA,3,1,7,4,3,3,1,5,2,0,3,2,0,NA,NA,2,2,2,3,1,2,0,1869,2,1,1,NA,NA,NA,NILES,60714,3956,0.6948938321536906,0.04322548028311426,0.1127401415571284,0.10667340748230536,0.08493427704752275,53000,Niles,0,0,2,1,0,0,SCHOOL DISTRICT  63,MAINE TOWNSHIP HIGH SCHOOL  207,8.007443298969072,79958,FALSE,TRUE,TRUE
30,211,77,77141,148990,72850,NA,W,3100,119,2,2,1,10,5,1,2,1,5,2,0,1,2,1,2,2,2,2,3,1,2,2,0,1980,2,2,5,1,NA,1,CHICAGO,60608,3960,0.17727272727272728,0.05353535353535353,0.0154040404040404,0.7368686868686869,0.03383838383838384,14000,Chicago,0,0,1,0,0,0,RUIZ,JUAREZ HS,6.89,50039,FALSE,TRUE,TRUE
31,211,25,25011,556420,23130,NA,W,3085,39,6,2,1,23,11,2,3,1,5,2,0,3,6,5,2,NA,2,2,7,NA,NA,NA,0,6792,2,2,3,NA,NA,NA,GLENVIEW,60025,5186,0.5123409178557655,0.03760123409178557,0.3337832626301581,0.1126108754338604,0.00366370998843038,NA,NA,0,0,1,0,0,0,SCHOOL DISTRICT C C 34,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.448,45045,FALSE,FALSE,TRUE
32,202,37,37021,31050,18450,NA,W,4920,62,NA,1,1,5,3,1,3,1,5,2,0,3,1,0,NA,NA,2,2,7,NA,NA,NA,0,988,2,1,1,NA,NA,NA,DOLTON,60419,5062,0.03694192018964836,0.8792967206637693,0.01027261951797708,0.03259581193204267,0.08178585539312525,20292,Dolton,0,0,1,0,0,0,SCHOOL DISTRICT  149,THORNTON TOWNSHIP HIGH SCHOOL  205,25.009,53221,FALSE,FALSE,TRUE
33,278,22,22150,538970,73180,NA,W,6970,17,NA,2,1,8,4,1,3,1,5,1,1,3,3,1,2,2,2,2,3,2,2,2,0,2969,2,1,2,NA,NA,NA,PARK RIDGE,60068,5094,0.8804475853945819,0,0.02120141342756184,0.08814291323125245,0.02041617589320769,57875,Park Ridge,1,0,1,0,0,0,SCHOOL DISTRICT C C  64,MAINE TOWNSHIP HIGH SCHOOL  207,8.938,113576,FALSE,TRUE,TRUE
34,211,71,71210,149810,39270,NA,W,3570,99,3,2,1,15,6,1,1,1,5,2,0,3,3,0,2,2,2,2,3,1,2,2,0,2394,2,2,2,NA,NA,1,CHICAGO,60639,4963,0.00463429377392706,0.7890388877694943,0,0.19605077574047955,0.01027604271609913,14000,Chicago,0,0,1,0,0,0,YOUNG,STEINMETZ COLLEGE PREP HS,6.884772382397572,45479,FALSE,TRUE,TRUE
35,205,34,34050,300140,48730,NA,W,5130,82,NA,2,1,6,3,1,1,1,5,1,1,2,1,1,2,2,2,2,1,2,1,1,0,1595,2,1,2,3,NA,1,RIVERSIDE,60546,3616,0.8426438053097345,0.01161504424778761,0.00995575221238938,0.12997787610619468,0.01161504424778761,64421,Riverside,0,0,1,0,0,0,SCHOOL DISTRICT 96,RIVERSIDE BROOKFIELD HIGH SCHOOL 208,12.07,125486,FALSE,TRUE,TRUE
36,203,31,31104,182340,39600,NA,W,6600,65,NA,3,1,6,3,1,1,1,5,1,0,1,1,0,NA,NA,2,2,1,3,1,2,0,1223,2,1,1,3,NA,NA,WESTCHESTER,60154,5569,0.664571736397917,0.07739270964266474,0.059974860836775,0.192853295026037,0.01041479619321242,80047,Westchester,0,0,1,0,0,0,SCHOOL DISTRICT 92 1/2,PROVISO TOWNSHIP HIGH SCHOOL 209,9.688,85958,FALSE,TRUE,TRUE
37,203,72,72200,99540,30240,NA,W,3780,65,NA,1,1,4,3,2,3,1,5,2,0,3,1,0,NA,NA,2,2,7,NA,NA,NA,0,1123,2,1,1,NA,NA,NA,CHICAGO,60652,6994,0.03002573634543895,0.8311409779811266,0.00943665999428081,0.0550471832999714,0.14869888475836432,14000,Chicago,0,0,3,1,0,0,CARROLL,BOGAN HS,6.949,66886,FALSE,FALSE,TRUE
38,278,29,29033,268380,55000,NA,W,8800,44,NA,1,1,8,4,3,3,1,5,1,0,3,3,0,2,2,2,2,3,1,1,2,0,2225,2,1,2,NA,NA,NA,HOFFMAN ESTATES,60192,4955,0.6302724520686176,0.02119071644803229,0.2343087790110999,0.06881937436932392,0.09081735620585268,35411,Hoffman Estates,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,10.023,116563,FALSE,TRUE,TRUE
39,207,77,77030,414920,82870,NA,W,3250,6,NA,1,1,7,3,1,1,1,5,1,1,3,2,1,2,2,2,2,3,1,2,2,0,1680,2,1,2,NA,NA,NA,CHICAGO,60647,1573,0.5670692943420216,0.04322949777495232,0.01589319771137953,0.34901462174189446,0.04958677685950413,14000,Chicago,0,0,1,0,0,0,YATES,CLEMENTE HS,6.915,80735,FALSE,TRUE,TRUE
40,295,22,22050,229900,18020,NA,W,1802,29,NA,1,1,5,2,1,3,1,5,1,1,3,2,1,2,1,2,2,3,2,1,1,0,1652,2,1,2,NA,NA,NA,NILES,60714,7226,0.4702463326875173,0.01992803764184888,0.25989482424577914,0.22792693052864657,0.03584278992526986,NA,NA,0,0,1,0,0,0,SCHOOL DISTRICT  63,MAINE TOWNSHIP HIGH SCHOOL  207,9.253,47274,FALSE,TRUE,TRUE
41,203,71,71371,228730,40500,NA,W,3240,64,NA,2,1,6,3,1,1,1,5,2,0,1,2,0,2,NA,2,2,3,1,2,2,0,1545,2,1,5,1,NA,NA,CHICAGO,60634,3177,0.6751652502360718,0.00220333648095687,0.09379918161787852,0.22883223166509287,0,14000,Chicago,0,0,1,0,0,0,CANTY,STEINMETZ COLLEGE PREP HS,6.894,73133,FALSE,TRUE,TRUE
42,295,31,31102,184200,23200,NA,T,2730,36,NA,3,1,5,2,3,3,1,5,1,0,2,2,0,2,1,2,2,1,2,1,1,0,1473,2,1,5,1,NA,NA,WESTCHESTER,60154,5569,0.664571736397917,0.07739270964266474,0.059974860836775,0.192853295026037,0.01041479619321242,80047,Westchester,0,0,1,0,0,0,SCHOOL DISTRICT 92 1/2,PROVISO TOWNSHIP HIGH SCHOOL 209,9.688,85958,FALSE,TRUE,TRUE
43,203,31,31060,137030,28970,NA,W,6100,100,NA,1,1,7,4,1,1,2,5,2,0,1,1,1,2,2,2,2,5,1,2,2,0,1128,2,1,1,3,NA,1,BELLWOOD,60104,5020,0.04880478087649402,0.7386454183266933,7.968127490039841e-4,0.20916334661354585,0.00318725099601593,04975,Bellwood,0,0,1,0,0,0,SCHOOL DISTRICT 88,PROVISO TOWNSHIP HIGH SCHOOL 209,19.52,52200,FALSE,TRUE,TRUE
44,212,71,71280,266440,39370,NA,W,3150,124,3,2,2,7,4,2,3,2,5,1,1,1,3,0,2,2,2,2,5,1,2,2,0,4361,2,2,2,1,NA,NA,CHICAGO,60639,3934,0.02541942043721403,0.00788002033553635,2.541942043721403e-4,0.9664463650228776,0,14000,Chicago,0,0,1,0,0,0,HANSON PARK,FOREMAN HS,6.884772382397572,50863,FALSE,TRUE,TRUE
45,203,31,31104,180800,42930,NA,W,7155,66,NA,2,1,6,3,1,1,1,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1175,2,1,1,NA,NA,NA,WESTCHESTER,60154,5569,0.664571736397917,0.07739270964266474,0.059974860836775,0.192853295026037,0.01041479619321242,80047,Westchester,0,0,1,0,0,0,SCHOOL DISTRICT 92 1/2,PROVISO TOWNSHIP HIGH SCHOOL 209,9.688,85958,FALSE,TRUE,TRUE
46,204,15,15030,157440,38760,NA,W,4191,97,NA,2,1,10,5,1,1,2,5,1,0,1,3,1,2,2,2,2,3,1,2,2,0,1727,2,1,6,3,1,NA,CICERO,60804,6490,0.04283513097072419,0.03944530046224961,0.01525423728813559,0.8942989214175655,0.00955315870570107,14351,Cicero,0,0,1,0,0,0,SCHOOL DISTRICT  99,BERWYN CICERO STICKNEY HIGH SCHOOL 201,16.731,55168,FALSE,TRUE,FALSE
47,202,71,71060,235330,45310,NA,T,3125,59,NA,2,1,4,2,2,3,1,5,2,0,3,1,0,2,NA,2,2,1,1,2,2,0,988,2,1,1,NA,NA,NA,CHICAGO,60630,5390,0.5829313543599258,0.00463821892393321,0.12393320964749537,0.28534322820037106,0.00630797773654916,14000,Chicago,0,0,1,0,0,0,BEAUBIEN,TAFT HS,6.894,86512,FALSE,TRUE,TRUE
48,211,71,71070,234760,50000,NA,T,3125,107,2,2,1,9,4,1,1,1,2,2,0,3,3,0,NA,NA,2,2,3,1,2,2,0,1918,2,2,2,NA,NA,1,CHICAGO,60618,4200,0.31261904761904763,0.02595238095238095,0.04523809523809524,0.5616666666666666,0.08642857142857142,14000,Chicago,0,0,1,0,0,0,MONROE,SCHURZ HS,6.919,59408,FALSE,TRUE,TRUE
49,203,77,77020,143670,53340,NA,W,3810,109,NA,2,1,7,2,1,3,2,5,2,0,1,1,1,2,2,2,2,7,NA,NA,NA,0,1752,2,1,5,1,NA,1,CHICAGO,60651,7489,0.03805581519562024,0.4310321805314461,0.00841233809587394,0.5144879156095606,0.01295233008412338,14000,Chicago,0,0,1,0,0,0,PICCOLO,ORR HS,6.89,35309,FALSE,FALSE,TRUE
50,295,29,29050,161060,23240,NA,W,1033,31,NA,1,1,6,2,3,1,1,5,1,1,3,2,1,2,NA,2,2,1,1,1,2,0,1261,2,1,2,NA,NA,NA,PALATINE,60067,6827,0.7694448513256189,0.01039988281822176,0.20301743078951223,0,0.03427567013329427,57225,Palatine,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,9.835,157125,FALSE,TRUE,TRUE
51,203,72,72271,231080,43050,NA,W,4305,67,NA,2,1,6,3,1,3,1,5,2,0,3,1,0,2,2,2,2,3,1,2,2,0,1351,2,1,1,NA,NA,NA,CHICAGO,60643,4100,0.5251219512195122,0.35048780487804876,0.01682926829268292,0.08292682926829269,0.03560975609756097,14000,Chicago,0,0,1,0,0,0,SUTHERLAND,MORGAN PARK HS,6.908,122727,FALSE,TRUE,TRUE
52,203,70,70030,84620,51560,NA,W,4125,98,NA,2,1,6,3,1,3,2,5,2,0,2,1,0,2,2,2,2,3,1,2,2,0,1225,2,1,1,1,NA,NA,CHICAGO,60619,2901,0,0.9755256807997242,0,0.0031023784901758,0.02137194071009996,14000,Chicago,0,0,1,0,0,0,RUGGLES,HIRSCH HS,6.88386464826358,32935,FALSE,TRUE,TRUE
53,202,70,70240,56000,30620,NA,W,4712,78,NA,1,1,5,2,1,3,1,5,2,0,1,1,0,2,2,2,2,3,1,2,2,0,686,2,1,1,3,NA,NA,CHICAGO,60617,2809,0.22783908864364544,0,0.01103595585617657,0.761124955500178,0,14000,Chicago,0,0,1,0,0,0,"WASHINGTON, G",WASHINGTON HS,6.908,44738,FALSE,TRUE,TRUE
54,202,77,77170,325040,106920,NA,W,2350,130,NA,2,1,6,3,1,3,2,5,2,0,1,1,0,2,NA,2,2,1,1,2,2,0,960,2,1,5,1,NA,NA,CHICAGO,60647,3136,0.7216198979591837,0.0315688775510204,0.04496173469387755,0.1677295918367347,0.06505102040816327,14000,Chicago,0,0,8,0,0,1,PULASKI,CLEMENTE HS,6.915,133438,FALSE,TRUE,TRUE
55,202,71,71071,206870,53320,NA,W,3950,127,NA,1,1,5,2,1,1,1,5,2,0,1,1,0,2,NA,2,2,3,1,2,2,0,968,2,1,1,3,NA,NA,CHICAGO,60630,3002,0.6335776149233844,0.00899400399733511,0.10026648900732844,0.21585609593604263,0.08261159227181879,14000,Chicago,0,0,1,0,0,0,BELDING,SCHURZ HS,6.917,82765,FALSE,TRUE,TRUE
56,203,72,72223,90990,23630,NA,W,3151,117,NA,1,1,7,4,1,3,1,5,2,0,2,1,0,2,2,2,2,3,1,2,2,0,1483,2,1,5,1,NA,1,CHICAGO,60620,3012,0.02158034528552457,0.9548472775564408,0.00863213811420982,0,0.02755644090305445,14000,Chicago,0,0,6,1,0,0,GRESHAM,HIRSCH HS,6.873317191283292,37628,FALSE,TRUE,TRUE
57,211,77,77020,144840,52790,NA,W,3771,99,2,2,2,10,4,1,3,2,5,2,0,3,2,0,2,NA,2,2,7,NA,NA,NA,0,2348,2,2,2,NA,NA,NA,CHICAGO,60651,7489,0.03805581519562024,0.4310321805314461,0.00841233809587394,0.5144879156095606,0.01295233008412338,14000,Chicago,0,0,1,0,0,0,PICCOLO,ORR HS,6.89,35309,FALSE,FALSE,TRUE
58,202,77,77020,95120,63190,NA,W,4514,65,NA,2,1,4,2,1,3,1,5,2,0,3,1,0,2,2,2,2,3,1,2,2,0,768,2,1,1,NA,NA,NA,CHICAGO,60651,7303,0.01875941393947692,0.2177187457209366,0,0.7236752019717924,0.07298370532657812,14000,Chicago,0,0,2,1,0,0,NOBEL,ORR HS,6.89,41931,FALSE,TRUE,TRUE
59,234,39,39211,150100,34400,NA,T,6880,53,NA,1,1,4,3,3,1,1,5,1,0,3,1,0,2,2,2,2,4,1,2,2,0,1106,2,1,4,NA,NA,NA,ALSIP,60803,4311,0.6112270934817907,0.1336116910229645,0.00139178844815588,0.24031547204824863,0.02690790999768035,01010,Alsip,0,0,3,0,0,0,SCHOOL DISTRICT  126,COMMUNITY HIGH SCHOOL  218,13.434,63065,FALSE,TRUE,TRUE
60,234,37,37092,102920,32850,NA,W,7300,53,NA,3,1,5,3,3,1,1,5,1,0,3,2,0,2,NA,2,2,3,3,1,2,0,1138,2,1,4,NA,NA,NA,SOUTH HOLLAND,60473,2838,0.14799154334038056,0.8146582100070472,0,0.03171247357293869,0.01127554615926709,70850,South Holland,0,0,1,0,0,0,SCHOOL DISTRICT  150,THORNTON TOWNSHIP HIGH SCHOOL  205,18.723,63750,FALSE,TRUE,TRUE
